tecnica,exec,tamanho,ED_total,MAE,WCE,MRED,MSE
MODULAR,1,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,1,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
MODULAR,2,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,2,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
MODULAR,3,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,3,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
MODULAR,4,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,4,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
MODULAR,5,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,5,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
MODULAR,6,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,6,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
MODULAR,7,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,7,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
MODULAR,8,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,8,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
MODULAR,9,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,9,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
MODULAR,10,80,7.60e+09,1187267.99,2488567.00,0.662500,2.15e+12
TRUNCATION,10,80,822111908.00,128454.99,2254650.00,0.073594,2.26e+11
FIM_COLETA
