tecnica,exec,tamanho,ED_total,MAE,WCE,MRED,MSE
MODULAR,1,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,1,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
MODULAR,2,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,2,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
MODULAR,3,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,3,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
MODULAR,4,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,4,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
MODULAR,5,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,5,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
MODULAR,6,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,6,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
MODULAR,7,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,7,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
MODULAR,8,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,8,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
MODULAR,9,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,9,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
MODULAR,10,40,902796245.00,564247.65,1247188.00,0.650000,5.01e+11
TRUNCATION,10,40,205373204.00,128358.25,1247188.00,0.144375,1.16e+11
FIM_COLETA
