tecnica,exec,tamanho,ED_total,MAE,WCE,MRED,MSE
MODULAR,1,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,1,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
MODULAR,2,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,2,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
MODULAR,3,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,3,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
MODULAR,4,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,4,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
MODULAR,5,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,5,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
MODULAR,6,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,6,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
MODULAR,7,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,7,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
MODULAR,8,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,8,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
MODULAR,9,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,9,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
MODULAR,10,160,6.11e+10,2387631.43,4587705.00,0.662500,8.65e+12
TRUNCATION,10,160,3.44e+09,134297.02,4366558.00,0.037148,4.89e+11
FIM_COLETA
